Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,34821,0
Mixed rurals,1,3,40-50 years,Farmers,29032,0
Large religious families,1,3,30-40 years,Conservative families,47502,0
Lower class large families,2,3,40-50 years,Family with grown ups,2614,0
"Young, low educated",1,3,40-50 years,Living well,23546,0
Family starters,1,3,40-50 years,Average Family,19404,1
Middle class families,1,3,40-50 years,Driven Growers,39236,0
Lower class large families,1,2,50-60 years,Family with grown ups,22005,0
High status seniors,1,3,40-50 years,Successful hedonists,4670288,0
Traditional families,1,3,40-50 years,Conservative families,11755,1
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,35116,0
Traditional families,1,4,30-40 years,Conservative families,45408,0
Large religious families,1,3,40-50 years,Conservative families,16534,0
Lower class large families,2,3,40-50 years,Family with grown ups,20708,0
Lower class large families,1,2,50-60 years,Family with grown ups,2021,0
Young seniors in the city,1,2,40-50 years,Cruising Seniors,49302,0
Etnically diverse,1,2,40-50 years,Living well,42475,0
Family starters,1,2,50-60 years,Average Family,43518,0
Lower class large families,2,3,40-50 years,Family with grown ups,4046,0
Large religious families,2,5,30-40 years,Conservative families,40832,0
Family starters,1,1,30-40 years,Average Family,32102,0
Affluent young families,1,3,30-40 years,Average Family,762769,1
Village families,1,2,40-50 years,Family with grown ups,44413,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,42813,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,24904,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,20982,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,27400,0
Young and rising,2,1,20-30 years,Living well,28875,0
Family starters,1,1,40-50 years,Average Family,21547,0
Lower class large families,1,4,30-40 years,Family with grown ups,28993,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,26766,0
Young all american family,1,3,40-50 years,Average Family,34801,0
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,43557,0
Porchless seniors: no front yard,1,2,60-70 years,Retired and Religious,31553,0
"Modern, complete families",2,3,30-40 years,Average Family,11120,0
Young seniors in the city,1,2,60-70 years,Cruising Seniors,10511,0
Mixed seniors,1,3,50-60 years,Retired and Religious,40079,0
Middle class families,2,3,40-50 years,Driven Growers,22089,0
Family starters,1,3,30-40 years,Average Family,16378,0
High status seniors,1,3,50-60 years,Successful hedonists,9561873,0
Traditional families,1,2,40-50 years,Conservative families,19239,0
Family starters,1,2,40-50 years,Average Family,13189,0
High status seniors,1,2,40-50 years,Successful hedonists,18687005,0
Young all american family,1,3,40-50 years,Average Family,16521,0
High status seniors,1,2,40-50 years,Successful hedonists,24139960,0
High status seniors,1,2,50-60 years,Successful hedonists,6718606,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,19347139,0
Mixed rurals,1,3,40-50 years,Farmers,29351,0
Young and rising,1,2,20-30 years,Living well,37780,0
Traditional families,1,3,40-50 years,Conservative families,19560,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,5243902,0
Large religious families,1,4,30-40 years,Conservative families,38880,0
Couples with teens 'Married with children',1,1,30-40 years,Family with grown ups,45800,0
Traditional families,1,2,30-40 years,Conservative families,17341,0
"Modern, complete families",1,3,40-50 years,Average Family,31165,0
Middle class families,1,5,40-50 years,Driven Growers,32612,0
High status seniors,2,3,40-50 years,Successful hedonists,6138618,0
Own home elderly,1,1,60-70 years,Cruising Seniors,27367,0
Large religious families,1,2,40-50 years,Conservative families,17312,0
Family starters,1,3,40-50 years,Average Family,49602,0
Large religious families,1,2,40-50 years,Conservative families,30345,0
"Modern, complete families",1,2,40-50 years,Average Family,45874,1
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,33940,1
"Young, low educated",1,2,30-40 years,Living well,19243,0
Lower class large families,1,3,30-40 years,Family with grown ups,22454,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,24930053,0
Lower class large families,1,4,30-40 years,Family with grown ups,10887,0
Family starters,2,2,60-70 years,Average Family,25224,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,42765,0
"Young, low educated",2,2,30-40 years,Living well,46871,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,32931,0
Young and rising,1,2,30-40 years,Living well,38316,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,18519,0
Couples with teens 'Married with children',1,4,40-50 years,Family with grown ups,13760,0
Middle class families,1,4,40-50 years,Driven Growers,20453,0
Young and rising,1,2,20-30 years,Living well,19468,0
Lower class large families,1,2,40-50 years,Family with grown ups,10801,0
"Large family, employed child",2,4,40-50 years,Family with grown ups,45473,0
Lower class large families,1,3,40-50 years,Family with grown ups,25640,0
Mixed apartment dwellers,3,2,50-60 years,Living well,30321,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,19858,0
Lower class large families,1,3,40-50 years,Family with grown ups,3737,0
Middle class families,1,2,50-60 years,Driven Growers,49932,0
Lower class large families,1,3,40-50 years,Family with grown ups,33461,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,11371,0
Village families,1,4,40-50 years,Family with grown ups,22684,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,49418,0
"Modern, complete families",1,3,40-50 years,Average Family,13446,0
Stable family,1,3,40-50 years,Average Family,17113,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,24396,0
Couples with teens 'Married with children',1,2,60-70 years,Family with grown ups,11843,0
High status seniors,1,2,50-60 years,Successful hedonists,12545905,1
Young seniors in the city,1,2,40-50 years,Cruising Seniors,42949,0
Young and rising,1,2,30-40 years,Living well,29976,0
Middle class families,1,3,40-50 years,Driven Growers,32298,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,21698,0
Traditional families,1,3,40-50 years,Conservative families,15620,0
Middle class families,2,3,40-50 years,Driven Growers,23392,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,31237,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,33384,0
Lower class large families,1,3,40-50 years,Family with grown ups,3259,0
Lower class large families,1,3,40-50 years,Family with grown ups,7889,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,29976435,0
Young all american family,1,3,30-40 years,Average Family,24746,0
Own home elderly,1,1,60-70 years,Cruising Seniors,15419,0
Young all american family,1,3,40-50 years,Average Family,38024,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,39181,0
Traditional families,1,4,30-40 years,Conservative families,46654,0
Lower class large families,1,3,40-50 years,Family with grown ups,20241,0
Lower class large families,1,4,30-40 years,Family with grown ups,38462,0
Low income catholics,1,3,40-50 years,Retired and Religious,25138,0
Middle class families,1,3,30-40 years,Driven Growers,22015,0
Large family farms,1,5,40-50 years,Farmers,45937,0
Middle class families,2,3,40-50 years,Driven Growers,30117,1
Middle class families,1,4,40-50 years,Driven Growers,46558,1
High status seniors,1,2,50-60 years,Successful hedonists,24639614,0
Traditional families,1,3,40-50 years,Conservative families,15263,0
Affluent young families,1,3,30-40 years,Average Family,356733,0
Stable family,1,4,30-40 years,Average Family,17724,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,49109,0
Stable family,1,4,40-50 years,Average Family,14017,0
Village families,1,3,40-50 years,Family with grown ups,40262,0
Mixed seniors,1,2,50-60 years,Retired and Religious,10688,0
Large religious families,1,3,40-50 years,Conservative families,29603,0
"Young, low educated",1,2,40-50 years,Living well,34750,0
"Modern, complete families",1,3,40-50 years,Average Family,19981,0
Low income catholics,1,3,40-50 years,Retired and Religious,48005,0
Large family farms,1,4,40-50 years,Farmers,34490,0
Mixed rurals,1,3,40-50 years,Farmers,41613,0
Large religious families,1,2,50-60 years,Conservative families,26441,0
Traditional families,1,3,40-50 years,Conservative families,34969,0
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,33974,0
Village families,1,4,40-50 years,Family with grown ups,39556,0
"Modern, complete families",1,4,30-40 years,Average Family,48801,0
"Modern, complete families",1,2,40-50 years,Average Family,42104,0
Family starters,2,2,60-70 years,Average Family,40452,0
Mixed rurals,1,2,50-60 years,Farmers,48934,0
Lower class large families,2,3,40-50 years,Family with grown ups,34561,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,45956,1
Porchless seniors: no front yard,1,3,50-60 years,Retired and Religious,18527,0
"Modern, complete families",1,3,40-50 years,Average Family,41357,0
Middle class families,1,3,40-50 years,Driven Growers,43833,0
Lower class large families,1,4,30-40 years,Family with grown ups,29882,0
Mixed rurals,1,3,40-50 years,Farmers,49333,1
Stable family,1,3,30-40 years,Average Family,22779,0
"Modern, complete families",2,3,30-40 years,Average Family,43575,0
Stable family,1,4,30-40 years,Average Family,30259,0
High status seniors,1,2,40-50 years,Successful hedonists,16073966,0
Lower class large families,1,3,40-50 years,Family with grown ups,48010,0
Young seniors in the city,1,1,40-50 years,Cruising Seniors,25604,0
Traditional families,1,4,30-40 years,Conservative families,35678,0
Traditional families,1,3,40-50 years,Conservative families,18460,0
Mixed rurals,1,3,40-50 years,Farmers,15917,0
Young all american family,1,3,30-40 years,Average Family,22106,0
Lower class large families,1,2,40-50 years,Family with grown ups,22963,0
Lower class large families,1,3,40-50 years,Family with grown ups,4802,0
Low income catholics,1,2,50-60 years,Retired and Religious,35600,0
Very Important Provincials,1,2,40-50 years,Successful hedonists,37201,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,27915,1
Large religious families,1,3,40-50 years,Conservative families,49040,0
"Modern, complete families",1,3,40-50 years,Average Family,26760,0
Large religious families,1,3,30-40 years,Conservative families,25837,0
Village families,1,2,40-50 years,Family with grown ups,39057,0
Lower class large families,1,2,50-60 years,Family with grown ups,25869,0
Mixed apartment dwellers,1,2,30-40 years,Living well,25056,0
Village families,1,2,50-60 years,Family with grown ups,37927,0
Stable family,1,3,40-50 years,Average Family,18495,0
Traditional families,1,3,30-40 years,Conservative families,29631,1
Affluent young families,1,4,30-40 years,Average Family,446048,0
"Modern, complete families",1,3,40-50 years,Average Family,25581,0
"Young, low educated",1,3,40-50 years,Living well,33126,0
Family starters,1,2,40-50 years,Average Family,49363,0
Lower class large families,1,2,50-60 years,Family with grown ups,45898,0
"Modern, complete families",1,3,40-50 years,Average Family,22293,0
Mixed apartment dwellers,1,2,30-40 years,Living well,43562,0
Traditional families,1,3,40-50 years,Conservative families,20097,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,38700,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,39224,0
Lower class large families,1,2,40-50 years,Family with grown ups,47030,0
Large family farms,1,3,50-60 years,Farmers,47071,0
Lower class large families,1,2,50-60 years,Family with grown ups,7103,0
Stable family,1,4,40-50 years,Average Family,46600,0
Young all american family,1,3,40-50 years,Average Family,44162,0
Village families,1,3,40-50 years,Family with grown ups,26870,0
Low income catholics,1,2,40-50 years,Retired and Religious,48337,0
Mixed apartment dwellers,1,1,30-40 years,Living well,33914,0
Lower class large families,1,3,40-50 years,Family with grown ups,36674,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,20208,0
"Young, low educated",1,2,50-60 years,Living well,43385,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,41541,0
Stable family,1,3,40-50 years,Average Family,14946,1
Family starters,1,2,40-50 years,Average Family,39461,0
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,10839,0
Couples with teens 'Married with children',1,2,60-70 years,Family with grown ups,10583,0
Affluent senior apartments,2,2,50-60 years,Successful hedonists,690080,0
Middle class families,1,3,40-50 years,Driven Growers,47558,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,25247,0
Low income catholics,1,3,40-50 years,Retired and Religious,37992,0
Traditional families,1,3,30-40 years,Conservative families,34255,1
Middle class families,1,3,40-50 years,Driven Growers,20591,1
Low income catholics,1,3,40-50 years,Retired and Religious,5889,0
Large religious families,1,2,40-50 years,Conservative families,22737,0
Village families,1,3,40-50 years,Family with grown ups,46204,0
Middle class families,1,4,40-50 years,Driven Growers,43840,0
Middle class families,2,3,40-50 years,Driven Growers,24235,0
Stable family,1,3,40-50 years,Average Family,27734,0
Large family farms,1,3,40-50 years,Farmers,47163,0
Village families,1,2,50-60 years,Family with grown ups,22116,0
Large religious families,2,5,30-40 years,Conservative families,37394,0
Traditional families,1,2,20-30 years,Conservative families,47813,0
"High Income, expensive child",1,4,40-50 years,Successful hedonists,35032441,1
Lower class large families,1,3,40-50 years,Family with grown ups,11725,0
Lower class large families,1,2,40-50 years,Family with grown ups,14000,1
Traditional families,1,4,40-50 years,Conservative families,42957,0
Large religious families,1,3,40-50 years,Conservative families,13918,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,44456,0
Students in apartments,1,2,30-40 years,Career Loners,48264,0
Traditional families,1,3,30-40 years,Conservative families,25281,1
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,49175,0
Large religious families,1,3,40-50 years,Conservative families,18671,0
Young and rising,1,1,20-30 years,Living well,23640,0
Mixed seniors,1,2,40-50 years,Retired and Religious,46220,0
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,45224,0
Lower class large families,1,3,40-50 years,Family with grown ups,8930,0
Family starters,1,2,40-50 years,Average Family,43298,0
Stable family,1,3,30-40 years,Average Family,35504,0
Affluent senior apartments,1,1,40-50 years,Successful hedonists,536343,0
Very Important Provincials,1,2,50-60 years,Successful hedonists,25788,0
Mixed apartment dwellers,1,2,40-50 years,Living well,37883,0
"Modern, complete families",1,3,30-40 years,Average Family,43746,0
Mixed seniors,1,3,40-50 years,Successful hedonists,27947,0
Own home elderly,3,2,50-60 years,Cruising Seniors,22252,0
Stable family,2,3,40-50 years,Average Family,22249,0
"Modern, complete families",1,3,30-40 years,Average Family,22878,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,31974,0
Lower class large families,1,4,30-40 years,Family with grown ups,34575,0
Traditional families,1,2,50-60 years,Conservative families,16381,0
Young seniors in the city,1,2,40-50 years,Cruising Seniors,22349,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,8354410,0
Lower class large families,1,2,40-50 years,Family with grown ups,39855,0
Young and rising,1,2,40-50 years,Living well,16329,0
"Young, low educated",1,2,40-50 years,Living well,14864,0
Mixed apartment dwellers,1,1,30-40 years,Living well,30785,0
"Modern, complete families",1,2,40-50 years,Average Family,43472,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,13703,0
Middle class families,1,2,50-60 years,Driven Growers,14548,1
High status seniors,1,1,60-70 years,Successful hedonists,20241068,0
Couples with teens 'Married with children',1,1,50-60 years,Family with grown ups,27441,0
Mixed rurals,1,3,30-40 years,Farmers,33525,0
Mixed rurals,1,3,40-50 years,Farmers,13997,0
Family starters,1,3,30-40 years,Average Family,48380,0
High status seniors,1,1,50-60 years,Successful hedonists,45592572,0
Lower class large families,1,2,50-60 years,Family with grown ups,18772,0
"Modern, complete families",1,3,40-50 years,Average Family,40181,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,32575,0
Mixed rurals,1,2,40-50 years,Farmers,20970,0
Young urban have-nots,1,3,30-40 years,Living well,20484,0
High status seniors,1,2,50-60 years,Successful hedonists,10289449,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,13889,0
Young and rising,1,2,30-40 years,Living well,38711,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,13299,0
Middle class families,1,3,40-50 years,Driven Growers,39060,1
Mixed seniors,1,1,70-80 years,Retired and Religious,12065,0
"Modern, complete families",1,3,40-50 years,Average Family,30247,0
Lower class large families,1,4,40-50 years,Family with grown ups,45912,0
Middle class families,2,3,40-50 years,Driven Growers,42789,0
Large religious families,1,3,40-50 years,Conservative families,45272,0
Lower class large families,1,3,40-50 years,Family with grown ups,13819,0
Lower class large families,1,3,40-50 years,Family with grown ups,26671,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,33739,0
Lower class large families,1,3,40-50 years,Family with grown ups,36827,0
Village families,1,4,40-50 years,Family with grown ups,13676,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,5586401,0
Young all american family,1,3,40-50 years,Average Family,13054,0
Lower class large families,1,2,50-60 years,Family with grown ups,4790,0
Students in apartments,1,2,30-40 years,Career Loners,46072,0
Large religious families,2,3,40-50 years,Conservative families,42737,0
Young all american family,1,3,40-50 years,Average Family,40345,1
High status seniors,1,2,50-60 years,Successful hedonists,41699271,0
Young all american family,1,4,30-40 years,Average Family,38641,0
Lower class large families,1,4,30-40 years,Family with grown ups,6901,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,33650884,0
Village families,1,2,40-50 years,Family with grown ups,46232,1
Middle class families,1,3,30-40 years,Driven Growers,40305,0
Mixed rurals,1,2,40-50 years,Farmers,24769,0
Lower class large families,1,3,40-50 years,Family with grown ups,13680,0
Lower class large families,1,3,40-50 years,Family with grown ups,44199,0
Stable family,1,3,30-40 years,Average Family,10809,0
Lower class large families,1,2,50-60 years,Family with grown ups,34188,0
Village families,1,3,40-50 years,Family with grown ups,28617,0
Middle class families,2,4,40-50 years,Driven Growers,14502,0
Mixed seniors,2,2,50-60 years,Retired and Religious,36309,0
Large religious families,1,3,30-40 years,Conservative families,23445,0
Mixed apartment dwellers,1,2,30-40 years,Living well,17876,0
Lower class large families,1,3,40-50 years,Family with grown ups,45524,0
Porchless seniors: no front yard,1,2,20-30 years,Retired and Religious,18247,0
Mixed rurals,1,3,30-40 years,Farmers,30763,0
Mixed small town dwellers,1,4,40-50 years,Family with grown ups,13800,0
Students in apartments,1,2,20-30 years,Career Loners,17448,0
Affluent young families,1,4,30-40 years,Average Family,682348,1
Traditional families,1,4,30-40 years,Conservative families,43763,1
Lower class large families,1,3,40-50 years,Family with grown ups,13236,0
Mixed rurals,1,3,40-50 years,Farmers,28441,0
Career and childcare,2,3,40-50 years,Driven Growers,12909,0
Stable family,1,3,30-40 years,Average Family,12339,0
Low income catholics,1,3,40-50 years,Retired and Religious,44817,0
Lower class large families,2,3,40-50 years,Family with grown ups,19578,0
"Young, low educated",1,3,30-40 years,Living well,38142,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,21254,0
Mixed rurals,1,2,40-50 years,Farmers,40764,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,24108,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,24795099,0
Village families,1,4,40-50 years,Family with grown ups,40179,0
Affluent young families,2,3,30-40 years,Average Family,762483,0
Mixed rurals,1,3,40-50 years,Farmers,15704,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,37635,0
Career and childcare,1,4,40-50 years,Driven Growers,22004,0
Large religious families,1,2,50-60 years,Conservative families,28463,0
Young and rising,1,1,30-40 years,Living well,47531,0
"Modern, complete families",1,3,40-50 years,Average Family,38572,0
Middle class families,2,4,40-50 years,Driven Growers,20503,1
"Large family, employed child",1,2,40-50 years,Family with grown ups,47684,0
Middle class families,1,3,50-60 years,Driven Growers,29299,0
"Large family, employed child",2,2,50-60 years,Family with grown ups,46665,0
Lower class large families,2,3,30-40 years,Family with grown ups,49750,0
Affluent senior apartments,2,2,50-60 years,Successful hedonists,315815,0
Mixed rurals,1,3,30-40 years,Farmers,42882,0
Traditional families,1,2,40-50 years,Conservative families,21975,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,15788,0
Mixed seniors,1,1,50-60 years,Retired and Religious,17426,0
Mixed seniors,1,2,60-70 years,Retired and Religious,44864,0
Affluent young families,1,3,30-40 years,Average Family,412595,0
"Modern, complete families",1,3,40-50 years,Average Family,46074,0
Lower class large families,1,3,40-50 years,Family with grown ups,21217,0
Middle class families,1,3,40-50 years,Driven Growers,27027,0
Low income catholics,1,2,40-50 years,Retired and Religious,43250,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,20906,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,26965,0
"Modern, complete families",1,4,30-40 years,Average Family,42708,0
Middle class families,2,4,40-50 years,Driven Growers,12010,0
Large religious families,2,3,40-50 years,Conservative families,30742,0
Mixed seniors,1,3,40-50 years,Retired and Religious,37627,0
Own home elderly,3,2,50-60 years,Cruising Seniors,24585,0
Village families,1,2,50-60 years,Family with grown ups,35413,0
Village families,1,4,40-50 years,Family with grown ups,43684,0
Lower class large families,1,4,30-40 years,Family with grown ups,26503,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,21973,0
Lower class large families,1,2,40-50 years,Family with grown ups,24817,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,36954,0
Single youth,1,2,40-50 years,Career Loners,25701,0
Young all american family,1,3,40-50 years,Average Family,42135,0
Lower class large families,2,3,40-50 years,Family with grown ups,11767,0
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,34885,0
Career and childcare,1,4,40-50 years,Driven Growers,30782,0
Young all american family,1,3,50-60 years,Average Family,11012,0
Village families,1,3,40-50 years,Family with grown ups,28851,0
"Large family, employed child",1,1,50-60 years,Family with grown ups,26367,0
Lower class large families,1,3,40-50 years,Family with grown ups,20022,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,13843,0
Middle class families,1,3,40-50 years,Driven Growers,22810,0
Mixed rurals,1,3,40-50 years,Farmers,22518,0
Lower class large families,1,3,40-50 years,Family with grown ups,17094,0
"Young, low educated",1,2,40-50 years,Living well,14107,0
Lower class large families,2,4,30-40 years,Family with grown ups,31551,0
Low income catholics,1,3,40-50 years,Retired and Religious,20606,1
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,16927,0
Mixed rurals,1,4,30-40 years,Farmers,36583,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,46539,1
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,15324,0
Lower class large families,1,3,40-50 years,Family with grown ups,34577,0
Family starters,1,3,40-50 years,Average Family,47401,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,796595,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,36520,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,300984,0
Traditional families,1,2,40-50 years,Conservative families,20233,0
Traditional families,1,4,30-40 years,Conservative families,12478,0
Very Important Provincials,1,2,40-50 years,Successful hedonists,20686,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,13745215,0
Traditional families,1,2,50-60 years,Conservative families,15302,0
Middle class families,1,4,40-50 years,Driven Growers,38415,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,18595,0
Middle class families,1,3,40-50 years,Driven Growers,43177,0
Mixed apartment dwellers,1,2,30-40 years,Living well,28175,0
Affluent young families,1,3,30-40 years,Average Family,359566,0
Religious elderly singles,1,1,60-70 years,Retired and Religious,27588,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,25153,0
Career and childcare,1,3,40-50 years,Driven Growers,26460,0
Affluent senior apartments,1,2,40-50 years,Successful hedonists,645993,0
Stable family,1,4,30-40 years,Average Family,21572,0
Young urban have-nots,2,2,50-60 years,Living well,31511,0
Traditional families,2,3,30-40 years,Conservative families,14798,1
Affluent young families,2,4,30-40 years,Average Family,681714,0
Young and rising,1,1,40-50 years,Living well,39695,0
High status seniors,1,2,40-50 years,Successful hedonists,31646446,0
Lower class large families,1,3,40-50 years,Family with grown ups,38087,0
Lower class large families,1,3,40-50 years,Family with grown ups,23689,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,24796,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,47569,0
Traditional families,1,4,40-50 years,Conservative families,45455,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,10912,0
"Modern, complete families",1,2,30-40 years,Average Family,46743,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,16092,0
Mixed apartment dwellers,1,2,30-40 years,Living well,24853,0
Career and childcare,1,3,40-50 years,Driven Growers,42700,1
Career and childcare,1,3,40-50 years,Driven Growers,34265,0
"Modern, complete families",1,2,50-60 years,Average Family,19219,0
"High Income, expensive child",1,4,40-50 years,Successful hedonists,26783829,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,31666,0
Lower class large families,1,3,40-50 years,Family with grown ups,10308,1
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,41753,0
"Modern, complete families",1,3,40-50 years,Average Family,23088,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,17541,0
Traditional families,1,3,40-50 years,Conservative families,34146,0
Lower class large families,1,3,30-40 years,Family with grown ups,20871,0
Mixed apartment dwellers,2,3,40-50 years,Living well,28413,0
Middle class families,2,3,40-50 years,Driven Growers,35122,0
Students in apartments,1,1,20-30 years,Career Loners,39635,0
Traditional families,1,3,40-50 years,Conservative families,11289,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,3416474,0
Village families,1,2,30-40 years,Family with grown ups,49097,0
Young and rising,1,1,30-40 years,Living well,45585,0
Traditional families,1,3,30-40 years,Conservative families,18463,0
Etnically diverse,1,2,40-50 years,Living well,43764,0
Residential elderly,3,2,50-60 years,Cruising Seniors,22617,0
High status seniors,1,3,40-50 years,Successful hedonists,10717519,0
Village families,1,3,40-50 years,Family with grown ups,19053,0
Village families,1,3,30-40 years,Family with grown ups,23352,0
Porchless seniors: no front yard,1,2,20-30 years,Retired and Religious,47982,0
"Modern, complete families",1,2,50-60 years,Average Family,33736,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,32088,0
Lower class large families,1,3,50-60 years,Family with grown ups,22108,0
Young and rising,1,1,40-50 years,Living well,28326,0
Middle class families,1,4,40-50 years,Driven Growers,11382,0
Lower class large families,1,4,30-40 years,Family with grown ups,36088,0
"Modern, complete families",2,3,30-40 years,Average Family,47934,0
Lower class large families,1,2,30-40 years,Family with grown ups,22427,0
Traditional families,1,4,30-40 years,Conservative families,24677,0
