loan_id,loan_purpose,is_first_loan,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,label
A_35,property,1,2100,0.86,1791,2131,1,16900,43,5,0
A_36,emergency,1,4000,0.95,1530,5486,1,16500,40,0,0
A_37,operations,1,2800,0.45,851,1789,1,13100,30,2,1
A_38,personal,1,2100,0.92,505,3131,1,22500,44,6,1
A_39,others,0,900,0.87,383,2242,1,21000,38,3,1
A_40,operations,0,2700,0.82,754,2777,1,35500,61,5,1
A_41,operations,0,4800,0.71,2381,655,1,36300,35,3,0
A_42,personal,1,5900,0.81,2134,3884,1,29600,41,5,0
A_43,personal,1,6200,0.76,2104,6716,1,49900,62,3,0
A_44,emergency,0,5300,0.43,1308,1636,0,0,36,3,1
A_45,property,0,7900,1.07,2254,7138,1,41900,41,8,0
A_46,others,0,6600,0.51,3724,4960,1,35300,21,3,0
A_47,personal,0,1800,0.67,1822,820,1,27800,66,1,1
A_48,personal,0,9800,0.83,3982,1973,1,29700,53,1,0
A_49,others,1,3400,0.87,528,626,1,24800,49,8,1
A_50,operations,1,7000,0.84,4980,5118,1,29000,43,3,0
A_51,personal,0,4800,0.6,1888,3535,1,52300,18,0,0
A_52,personal,0,3500,0.81,1035,3109,0,0,37,6,1
A_53,others,1,4300,0.9,1937,6620,1,35900,34,3,0
A_54,operations,0,2100,0.45,1227,3931,1,26900,57,2,1
A_55,personal,0,4100,0.57,228,255,1,47900,41,8,0
A_56,personal,1,7900,0.7,144,5181,1,3600,58,3,0
A_57,others,0,4800,0.34,1837,5280,1,38400,41,2,0
A_58,others,0,1900,0.77,3184,8073,1,18900,41,2,0
A_59,others,1,8000,0.9,1270,2489,0,0,22,4,1
A_60,operations,0,2600,0.67,2023,1608,1,35400,57,1,0
A_61,property,0,4500,0.51,5204,1331,1,28200,23,1,0
A_62,property,1,4200,0.92,423,2681,0,0,21,3,1
A_63,property,1,7700,0.44,2849,5061,1,42100,27,6,0
A_64,property,1,2500,0.76,1325,2443,1,31100,33,6,1
A_65,personal,1,2300,0.65,4587,765,1,32200,37,2,0
A_66,operations,1,7500,0.95,1225,1778,1,42700,53,3,0
A_67,operations,1,3300,0.67,2727,7976,1,45800,33,1,0
A_68,others,0,700,0.78,1821,1621,0,0,30,8,1
A_69,emergency,0,3500,0.77,2381,3744,1,43300,38,3,0
A_70,personal,0,6000,0.69,1351,742,0,0,19,1,1
A_71,others,0,6000,0.69,2217,4248,1,19700,30,3,0
A_72,property,1,3800,0.79,2033,1143,0,0,41,4,0
A_73,personal,0,3800,0.52,3013,7930,1,29500,32,8,0
A_75,emergency,0,6400,0.97,411,2900,1,35300,42,8,0
A_76,property,0,7200,0.75,2686,5793,1,21100,56,2,0
A_78,personal,0,2700,0.61,1420,1558,1,37000,43,1,1
A_79,operations,1,5500,0.63,3481,5679,0,0,42,8,0
A_80,property,1,2700,0.61,939,1506,1,28600,39,5,0
A_81,property,1,5700,0.76,1625,2332,1,18500,21,4,1
A_82,personal,0,7700,0.73,663,2357,1,33700,47,5,0
A_83,operations,0,2600,0.87,1525,2715,1,44300,26,1,1
A_84,property,0,7600,0.92,3514,486,1,43700,46,8,0
A_85,emergency,1,5300,0.72,6531,4815,1,36200,19,3,0
A_86,property,0,6400,0.8,5008,4272,1,500,50,3,0
A_87,others,1,1100,0.99,1367,2823,1,19800,56,5,1
A_88,emergency,0,3200,0.87,1417,2197,1,20300,25,8,1
A_89,others,1,5000,0.87,1057,4185,1,49300,42,3,0
A_90,emergency,0,6500,0.87,2930,2391,1,15500,43,2,0
A_91,emergency,0,3500,0.47,670,194,1,30200,39,8,1
A_92,operations,1,5800,0.55,2129,5525,1,52300,28,4,0
A_93,operations,0,4900,0.74,3204,3853,1,27000,28,2,0
A_94,emergency,0,2900,0.91,1872,3172,1,18700,38,8,1
A_95,property,1,4000,0.52,2615,4492,1,31000,64,4,0
A_96,property,1,3600,0.84,2174,2767,1,17900,72,2,1
A_97,personal,0,5000,0.7,2436,6144,1,26900,32,1,0
A_98,operations,0,8600,0.58,1273,8334,1,42300,51,2,0
A_99,personal,0,4200,0.78,3939,1422,0,0,27,2,0
A_100,property,0,5200,0.58,3619,2594,1,37000,32,3,0
A_101,personal,0,10000,0.76,3308,7473,1,29300,38,5,0
A_102,property,1,2600,0.72,21,1783,1,31700,29,1,0
A_103,others,1,3900,0.48,5072,6146,1,16900,53,0,0
A_104,property,0,3200,1,3836,2846,1,29900,58,1,0
A_105,others,1,6600,0.74,1363,1300,1,22200,43,5,1
A_106,property,0,2600,0.82,925,1064,1,28600,55,7,0
A_107,operations,1,8600,0.6,3258,4824,1,3700,58,3,0
A_108,operations,1,2400,0.83,1602,2219,1,51300,34,8,1
A_109,emergency,0,3200,0.76,903,1708,1,26500,58,2,1
A_110,emergency,1,5000,0.83,1599,2069,1,20500,49,2,0
A_111,personal,1,3600,0.99,896,1823,1,12600,21,3,1
A_112,others,1,4400,0.69,1203,1321,1,24700,54,8,1
A_113,property,0,5100,0.83,4612,1275,1,15800,49,4,0
A_114,operations,1,5200,0.84,1012,1074,0,0,48,8,1
A_115,personal,1,6500,0.79,3132,5190,1,20300,60,4,0
A_116,personal,0,800,0.32,1499,2452,1,29200,23,4,1
A_117,personal,0,5400,0.86,301,6356,1,9900,33,3,0
A_118,property,1,3800,0.72,2482,5365,1,43100,56,1,0
A_119,operations,0,6300,0.57,5135,4590,1,31500,31,2,0
A_120,property,1,8800,0.81,3545,5857,1,69400,30,1,0
A_121,operations,1,6400,0.3,3986,741,1,37500,73,8,0
A_122,others,0,1600,0.93,860,2084,0,0,45,8,1
A_123,operations,1,2400,0.95,934,2129,1,35900,63,2,1
A_124,property,0,2500,0.36,2443,3943,1,39400,27,5,0
A_125,operations,1,2000,0.47,1399,937,1,18100,58,5,1
A_126,personal,0,5900,0.58,3652,2839,1,45300,40,1,0
A_127,personal,0,2800,0.74,2845,2343,1,31800,32,8,0
A_128,emergency,1,1100,0.98,255,3623,0,0,24,6,1
A_129,personal,0,4400,0.54,3646,4747,1,8000,45,2,0
A_130,property,0,2500,0.87,1465,4453,1,25100,45,6,0
A_131,operations,1,7300,0.92,1363,2841,1,55600,53,1,0
A_132,personal,1,2800,0.47,1495,2533,1,28900,49,1,1
A_133,operations,1,3000,0.83,574,1688,1,40500,38,1,1
A_134,others,1,9100,0.29,3467,2884,1,38700,37,8,0
A_135,operations,1,5200,0.4,2048,4538,1,56700,36,0,0
A_136,operations,0,4900,0.59,1609,5386,1,27100,39,6,0
A_137,operations,0,3800,0.88,2672,5529,1,800,43,6,0
A_138,property,1,3300,0.73,2834,6390,1,36300,44,2,0
A_139,personal,1,3400,0.41,745,2089,1,32700,48,8,0
A_140,property,1,4500,0.34,946,3785,0,0,51,4,1
A_141,property,1,4200,0.78,3850,6094,1,37400,45,1,0
A_142,operations,1,8200,0.4,1984,4963,1,8800,40,4,0
A_143,operations,0,7600,0.82,3824,6501,1,42000,25,2,0
A_144,operations,1,5300,0.7,2811,6344,1,29400,48,3,0
A_145,property,0,3100,0.81,3204,4516,1,27200,54,8,0
A_146,property,0,2900,0.41,1303,2106,1,34800,38,4,1
A_147,others,0,5600,0.71,1397,6463,1,38900,39,1,0
A_148,others,0,6600,0.63,4706,7381,1,55200,57,5,0
A_149,others,1,3000,0.65,1147,1330,1,30900,43,4,1
A_150,property,0,5000,0.53,2971,4211,1,26800,43,4,0
A_151,property,1,6700,0.8,791,8018,1,59400,58,2,0
A_152,emergency,0,2300,0.49,1131,1305,1,15600,61,2,1
A_153,others,0,6400,0.56,1646,5662,1,41600,46,2,0
A_154,property,0,3600,0.39,5553,5452,1,51100,45,1,0
A_155,property,0,7300,0.86,5875,6334,0,0,58,2,0
A_156,personal,1,3600,0.62,4516,3729,1,70300,67,2,0
A_157,personal,0,6100,0.83,1528,2453,0,0,55,2,1
A_158,personal,1,5200,0.53,630,3103,1,36700,36,8,1
A_159,property,0,2300,0.59,1802,10252,1,51900,35,2,0
A_160,operations,1,5300,0.64,542,1952,0,0,39,6,1
A_161,operations,0,1700,0.47,4824,5227,1,49400,40,1,0
A_162,operations,1,1400,0.61,4894,1030,1,57300,32,8,0
A_163,emergency,1,6300,0.73,766,1756,1,29900,44,5,0
A_164,operations,0,6100,0.67,4803,7579,1,16800,50,2,0
A_165,property,1,2500,0.61,601,615,1,31000,56,4,1
A_166,operations,0,5600,1.02,365,1961,0,0,48,3,1
A_167,operations,0,2500,0.46,1686,4474,1,58900,33,1,0
A_168,operations,1,5500,0.89,1675,2639,1,23200,36,1,1
A_169,property,1,3700,0.51,3784,4185,1,40300,28,1,0
A_170,operations,0,3200,0.83,1549,540,1,40500,46,2,1
A_171,property,1,1000,0.22,6213,1731,1,33200,36,3,0
A_172,property,1,1100,0.64,2640,3172,1,32600,36,1,0
A_173,property,1,4200,0.69,2569,4937,1,45000,29,2,0
A_174,property,0,3500,0.78,2912,3409,1,50300,61,5,0
A_175,personal,0,4300,0.74,81,1708,1,26200,57,3,1
A_176,personal,0,4200,0.57,2102,833,1,20400,46,1,0
A_177,personal,1,1600,0.77,610,2011,1,38200,32,7,1
A_178,others,1,1500,0.92,1623,1792,1,38800,58,4,1
A_179,emergency,0,7000,0.63,3067,4176,1,49400,36,2,0
A_180,operations,1,3700,0.66,1537,1969,1,41100,32,1,1
A_181,property,1,3500,0.8,6319,2280,1,20600,50,3,0
A_182,property,1,800,0.75,1488,2066,1,24400,55,4,1
A_183,operations,1,5900,0.27,3071,5676,1,29400,30,1,0
A_184,property,1,5900,0.87,2312,5148,1,45600,37,4,0
A_185,operations,1,3000,0.7,1398,1876,1,28000,29,4,1
A_186,others,0,5700,0.78,2322,3039,1,36000,55,3,0
A_187,personal,1,4200,0.95,723,8920,1,13500,49,2,0
A_188,personal,0,5500,0.53,4070,2367,1,40500,49,2,0
A_189,emergency,0,6000,0.81,1194,1695,0,0,29,8,1
A_190,property,0,4300,0.47,1604,7527,1,21900,45,2,0
A_191,property,1,6600,0.66,1191,2373,1,47300,61,3,0
A_192,personal,1,7400,0.98,3191,4410,1,44500,67,4,0
A_193,emergency,0,3300,0.35,1396,2370,1,31100,40,5,1
A_194,operations,0,4400,0.65,1115,4388,1,18000,25,5,0
A_195,operations,1,2700,0.64,1955,1501,1,18900,31,8,1
A_196,personal,1,4000,0.75,3067,8198,1,45000,24,2,0
A_197,emergency,0,4300,0.82,873,6234,1,27900,27,5,0
A_198,operations,1,3800,0.73,3893,2744,1,26000,48,3,0
A_199,personal,1,6400,0.78,3885,6883,1,65200,39,2,0
A_200,others,0,7500,0.48,1326,1337,1,33700,28,8,0
A_201,operations,1,8100,0.8,4937,6979,1,48100,40,3,0
A_202,operations,1,1800,0.4,2509,3429,1,38800,58,8,0
A_203,property,0,5300,0.98,2286,7466,1,55000,30,8,0
A_204,operations,1,4000,0.86,2628,4646,1,23700,46,8,0
A_205,property,0,2700,0.64,3362,8230,1,41500,68,2,0
A_206,others,0,3800,0.51,610,1836,1,23500,18,7,1
A_207,property,1,1700,0.85,2531,4680,1,69300,68,0,0
A_208,property,1,6600,0.77,2342,2286,1,48300,40,5,0
A_209,others,1,1600,0.51,779,3567,1,41200,51,7,1
A_210,operations,1,3000,0.83,2616,3472,1,30400,22,2,0
A_211,emergency,0,2200,0.65,970,440,0,0,22,1,1
A_212,property,0,4500,0.76,1432,2333,1,37900,37,6,1
A_213,operations,1,2000,0.68,905,1609,1,31700,45,5,1
A_214,emergency,1,6900,0.9,806,1843,1,33200,55,3,1
A_215,others,0,6000,0.79,4813,2661,1,12700,44,1,0
A_216,emergency,0,2200,0.8,1702,1680,1,35300,31,1,1
A_217,property,1,1000,0.59,93,6294,1,31600,38,1,0
A_218,operations,0,2700,0.88,326,2272,1,23400,32,3,1
A_219,emergency,1,2300,0.53,1111,5659,1,55500,61,7,0
A_220,emergency,1,5800,0.57,1312,6266,1,28900,40,8,0
A_221,personal,0,3400,0.99,2170,5799,1,28200,40,4,0
A_222,personal,0,2200,0.76,1061,1947,0,0,22,4,1
A_223,personal,1,5700,0.55,4488,1059,1,36300,32,1,0
A_224,personal,1,6900,0.74,872,4894,1,5300,54,1,0
A_225,others,0,3100,0.65,3097,7003,1,35600,47,1,0
A_226,property,0,6500,0.76,3735,5466,1,12000,37,4,0
A_228,property,1,2100,0.89,1276,4027,1,38400,41,8,0
A_229,operations,1,3400,0.94,1254,2200,0,0,46,3,1
A_230,personal,0,5100,0.87,1407,1904,1,19800,40,4,1
A_231,others,0,3900,0.9,671,2344,0,0,34,7,1
A_232,operations,1,5100,0.66,515,3593,1,63500,42,5,0
A_233,others,0,4200,0.51,538,2161,1,32800,41,8,0
A_234,operations,0,5400,0.72,1257,684,1,31100,31,8,0
A_235,property,1,4800,0.67,1972,6733,1,8000,31,2,0
A_236,operations,1,3000,0.74,2025,4224,1,37500,36,2,0
A_237,property,0,5100,0.87,1827,6741,1,16400,47,7,0
A_238,personal,0,6700,0.83,1486,6369,1,8700,45,2,0
A_239,personal,1,2600,0.79,3902,6020,1,13900,41,2,0
A_240,operations,0,5500,0.31,1984,78,1,49700,53,3,0
A_241,property,1,2700,0.33,991,3855,1,20100,51,2,0
A_242,operations,0,4700,0.8,802,2113,0,0,37,3,1
A_243,personal,1,2700,0.51,5801,2620,1,21100,56,0,0
A_244,others,1,5200,0.43,1377,2104,1,28000,42,6,1
A_245,operations,1,3000,0.84,1583,571,1,26800,58,5,0
A_246,operations,0,6100,0.64,2133,1440,1,7100,39,8,0
A_247,property,0,2900,1.06,1118,877,1,18500,38,3,1
A_248,operations,0,6300,0.68,2291,4045,1,44300,23,1,0
A_249,property,1,4900,0.44,4624,9722,1,30500,52,1,0
A_250,operations,1,5500,0.73,1177,4669,1,43300,31,1,0
A_251,property,1,6800,0.77,593,3099,1,17700,67,5,1
A_252,operations,1,2100,0.48,833,1394,1,32100,46,0,0
A_253,personal,1,5100,0.96,2634,3189,1,18500,34,1,0
A_254,emergency,0,3800,0.64,1633,4829,1,50300,50,1,0
A_255,operations,1,3900,0.59,1959,2257,1,30200,61,1,1
A_256,others,0,4300,0.86,3585,1044,1,33600,22,2,0
A_257,property,0,5700,0.6,5271,8073,1,1500,49,7,0
A_258,operations,1,7400,0.65,1460,2486,1,10400,39,6,1
A_259,operations,1,4300,0.64,438,5466,1,35600,19,1,0
A_260,personal,0,3900,0.4,817,764,1,8500,28,4,1
A_261,others,1,2000,0.65,5262,6039,1,41500,55,7,0
A_262,others,0,3400,0.54,6649,4041,1,38500,43,3,0
A_263,property,1,2400,0.96,457,4428,1,25600,56,8,1
A_264,property,1,1800,1.09,936,1518,0,0,39,1,1
A_265,emergency,1,2800,0.91,699,2335,1,23500,33,2,1
A_266,property,1,4700,0.89,545,2000,1,12700,40,8,1
A_267,emergency,1,5400,0.57,2764,5199,1,52900,44,1,0
A_268,personal,1,4700,0.86,529,627,1,28800,50,1,0
A_269,operations,1,2600,0.3,2159,3526,1,2000,69,2,0
A_270,others,1,4600,0.98,1158,2283,1,35600,46,1,1
A_271,personal,1,3100,0.75,1819,3307,1,57900,48,1,0
A_272,property,1,4900,0.82,1481,1466,1,28500,56,8,1
A_273,operations,1,5600,0.62,876,2671,1,24900,61,4,1
A_274,property,0,1700,0.81,2040,3207,1,41900,43,2,0
A_275,property,1,3000,0.48,3279,3913,1,24100,50,3,0
A_276,property,1,6000,0.76,840,811,1,24300,33,3,0
A_277,property,0,3900,0.73,1189,5137,1,26000,39,8,0
A_278,emergency,0,3100,0.86,2966,2338,1,21200,33,8,0
A_279,operations,1,5900,0.45,446,7458,1,58400,44,8,0
A_280,property,0,2700,0.82,642,2947,1,8200,37,2,0
A_281,emergency,0,6100,0.84,1659,2548,1,12100,52,7,1
A_282,emergency,0,6100,0.74,1241,1824,1,37100,32,5,0
A_283,others,0,9600,0.62,618,4792,1,29600,30,2,0
A_284,operations,0,2200,0.25,2988,746,1,53200,35,4,0
A_285,others,0,4200,0.53,3855,2697,1,40800,27,2,0
A_286,personal,0,3900,0.73,1801,6324,1,59300,59,3,0
A_287,personal,0,7400,0.62,4189,8087,1,32600,28,2,0
A_288,operations,1,2500,0.59,613,1981,1,23200,55,8,1
A_289,emergency,0,5100,0.91,2456,2525,1,41800,47,7,0
A_290,property,1,4500,0.66,3805,3876,1,39900,45,1,0
A_291,others,1,4200,0.95,785,1235,1,28300,37,8,1
A_292,personal,1,5200,0.46,3138,6210,1,26600,47,2,0
A_293,property,1,6300,0.48,1561,4402,1,69400,51,2,0
A_294,property,1,2200,0.93,928,2156,1,20600,30,8,1
A_295,operations,1,7600,0.4,3946,7256,1,39300,54,1,0
A_296,others,0,600,0.59,449,2342,1,22000,41,5,1
A_297,personal,0,2500,0.68,721,3600,1,21000,61,3,1
A_298,personal,0,8800,0.46,456,2719,1,36500,52,1,0
A_299,others,1,4400,0.75,2046,5929,1,21500,26,8,0
A_300,property,0,3700,0.85,1373,1687,1,25800,37,4,1
A_301,property,1,5800,0.77,4904,922,1,45600,60,4,0
A_302,personal,1,5900,0.8,3269,3628,1,38400,39,1,0
A_303,property,0,6500,0.57,1348,3399,0,0,36,1,1
A_304,personal,1,3500,0.56,1614,3072,1,26900,56,1,1
A_305,operations,1,3200,0.29,3557,4553,1,33600,48,1,0
A_306,others,1,2800,0.56,1126,2717,1,12800,28,2,1
A_307,operations,0,5100,0.85,1478,622,0,0,54,8,1
A_308,operations,1,5100,0.73,962,1693,1,38700,38,5,1
A_309,personal,1,2300,0.66,518,1989,1,2700,32,8,1
A_310,operations,0,6700,0.43,468,5136,1,43100,20,8,0
A_311,operations,0,5300,0.61,1834,5142,1,66300,52,1,0
A_312,operations,1,1700,0.92,2785,4372,1,13200,21,1,0
A_313,personal,0,2700,0.76,955,2102,1,50200,31,1,1
A_314,property,1,1900,0.7,1421,2982,1,52700,29,4,0
A_315,operations,1,4500,0.75,1827,1025,0,0,43,2,1
A_316,emergency,1,2700,0.74,1232,1096,1,21700,29,8,1
A_317,operations,1,7000,0.56,2923,6910,1,36500,29,3,0
A_318,personal,0,5800,0.56,1307,1670,1,43000,34,1,0
A_319,operations,1,7800,0.68,2297,1834,1,34700,47,3,0
A_320,emergency,1,7800,0.84,3296,4685,1,65200,45,7,0
A_321,emergency,1,6200,0.99,1967,1129,1,21800,34,4,0
A_322,property,0,4400,0.89,4647,2593,1,24200,57,8,0
A_323,others,1,5800,0.71,3610,5605,1,38400,44,1,0
A_324,operations,0,3500,0.68,1622,1451,1,60200,34,3,0
A_325,operations,1,5300,0.57,3630,4897,1,40500,39,1,0
A_326,property,0,4200,0.65,1053,2859,1,41100,50,8,0
A_327,personal,0,7600,0.59,2541,6847,1,30900,47,4,0
A_329,operations,0,8200,0.61,829,7344,1,30000,51,2,0
A_330,emergency,1,5200,0.67,1098,2440,0,0,49,3,1
A_331,emergency,1,1100,0.7,273,2802,1,30100,52,2,1
A_332,personal,0,6300,0.57,6219,6319,1,18000,31,7,0
A_333,property,0,7800,0.45,2601,3587,1,40800,26,2,0
A_334,operations,1,4600,0.76,590,1106,1,48300,24,5,0
A_335,personal,1,3500,0.81,250,7002,1,55800,56,3,0
A_336,operations,1,1900,0.92,1176,3041,0,0,54,8,1
A_337,personal,1,7600,0.78,2062,4587,1,41900,41,2,0
A_338,property,1,2500,0.92,2913,4142,1,45400,43,0,0
A_339,operations,1,2600,0.81,2215,3999,1,24200,52,5,0
A_340,property,1,4600,0.9,1033,5503,1,16700,31,2,0
A_341,property,0,5500,0.68,4152,8743,1,45900,54,2,0
A_342,personal,0,5900,0.69,3122,5211,1,19800,79,8,0
A_343,others,1,800,0.48,1406,1674,0,0,45,2,1
A_344,property,0,3300,0.59,1300,2286,1,31500,47,6,1
A_345,operations,1,3600,0.95,3285,2933,1,67500,55,4,0
A_346,others,0,3300,0.84,696,2847,1,32300,33,6,1
A_347,property,1,1400,0.81,1715,2495,1,50100,55,1,0
A_348,personal,0,7800,0.75,3342,2628,1,25500,28,3,0
A_349,personal,1,4600,0.89,833,2473,1,19400,48,4,1
A_350,others,1,7500,0.8,437,4994,1,33100,35,5,0
A_351,property,1,6100,0.87,430,1718,1,3500,30,4,1
A_352,emergency,0,3800,0.93,1835,4886,1,38700,47,8,0
A_353,property,1,5600,0.71,1448,2632,1,28300,22,2,0
A_354,emergency,0,3100,1.02,1010,2106,0,0,23,1,1
A_355,operations,1,4800,0.69,6130,4128,1,31300,53,8,0
A_356,operations,1,4200,0.64,1028,1521,1,23200,37,8,1
A_357,emergency,0,5100,0.9,877,1108,1,19900,61,1,1
A_358,personal,1,4600,0.79,4774,8212,1,32200,68,2,0
A_359,operations,0,3800,0.83,3305,3827,1,48400,38,4,0
A_360,operations,0,5900,0.74,2354,7077,1,50900,73,3,0
A_361,property,1,2600,0.49,973,3453,1,29800,52,5,1
A_362,others,0,10600,0.49,2570,5246,1,20400,38,3,0
A_363,property,1,6200,1,972,4291,1,21400,29,7,0
A_364,property,0,3000,0.89,3520,5200,1,36000,19,6,0
A_365,operations,1,6900,0.7,1098,1994,1,54100,43,8,0
A_366,personal,1,3100,0.44,733,1172,1,28800,55,7,1
A_367,operations,1,2500,0.9,1371,1101,0,0,53,3,1
A_369,operations,1,5600,0.91,272,1320,1,22300,38,3,0
A_370,emergency,0,2500,0.77,896,1323,1,10200,41,2,1
A_371,property,0,4300,0.55,2067,3352,1,4800,43,2,0
A_372,operations,1,2700,0.56,3270,8353,1,38300,52,2,0
A_373,property,1,1200,0.45,705,2151,1,41100,32,5,1
A_374,personal,0,9700,0.79,1951,5138,1,36200,48,6,0
A_375,others,1,3800,0.54,4072,6383,1,41100,41,1,0
A_376,operations,1,6600,0.5,2143,3176,1,42900,33,1,0
A_377,property,0,1900,0.89,497,1552,1,25200,54,3,1
A_378,operations,0,2600,0.65,6118,4721,1,23800,51,8,0
A_379,personal,1,5200,0.49,1596,2944,1,45700,31,3,0
A_380,personal,0,9800,0.67,4778,3456,1,26000,22,3,0
A_381,operations,1,3000,0.77,3207,4812,1,34900,39,1,0
A_382,personal,1,2800,0.67,1208,7424,1,65000,52,5,0
A_383,property,0,3400,0.83,2661,11347,1,45900,30,0,0
A_384,operations,0,5400,0.5,2051,5688,1,15900,45,5,0
A_386,property,0,7700,0.56,5373,1814,1,4700,57,2,0
A_387,property,1,2000,0.59,2856,2251,1,12400,54,1,0
A_388,property,1,6400,0.84,2960,3740,1,39900,50,4,0
A_389,property,0,2700,0.7,5368,3684,1,45800,64,2,0
A_390,personal,1,4900,0.91,1469,356,1,11500,57,1,1
A_391,operations,0,9500,0.84,4138,3600,1,49200,39,2,0
A_392,operations,1,6500,0.43,1597,1856,1,60100,33,4,0
A_393,emergency,0,2000,0.9,2287,5985,1,51200,31,2,0
A_394,operations,1,7200,0.68,3869,6054,1,13600,72,2,0
A_395,others,1,5400,0.83,925,101,1,50000,55,2,0
A_396,operations,1,7800,0.71,4488,2489,1,54000,39,8,0
A_397,operations,1,10200,1,269,4345,1,50200,44,1,0
A_398,property,0,1500,0.77,838,1516,1,46400,31,2,1
A_399,operations,0,2200,0.92,1176,2260,1,15000,59,0,1
A_401,operations,0,2900,0.58,1843,2166,1,26800,54,2,1
A_402,operations,1,2000,0.87,2530,4723,1,43800,45,1,0
A_403,property,1,7400,0.77,578,5401,1,46700,41,8,0
A_404,emergency,0,3400,0.69,1692,2049,1,21300,38,2,1
A_405,emergency,0,6400,0.57,3259,7929,1,26800,44,2,0
A_406,others,0,2000,0.89,969,2499,0,0,29,2,1
A_407,operations,1,5200,0.56,3251,2879,1,51800,30,8,0
A_408,operations,1,3400,0.7,3207,1868,1,34000,44,8,0
A_409,personal,0,6800,0.62,1586,2716,1,33600,43,2,0
A_410,others,1,6600,0.59,265,1478,1,28500,54,7,0
A_411,property,1,2800,0.76,1364,7778,1,32100,39,2,0
A_412,personal,0,5400,0.54,1863,1549,1,34700,29,3,0
A_413,property,1,1600,0.78,549,2167,1,36100,26,1,1
A_414,others,0,7300,0.52,3925,2784,1,29600,53,3,0
A_415,emergency,0,4400,0.84,1532,941,1,17500,51,8,1
A_416,property,0,3800,0.82,2342,4073,1,33300,48,8,0
A_417,personal,0,4700,0.78,471,634,1,56400,26,7,0
A_418,personal,1,6200,0.86,1783,6589,1,27600,61,2,0
A_419,operations,1,4200,0.78,1815,236,1,35600,24,7,1
A_420,property,0,5200,0.79,99,2451,1,26300,51,1,0
A_421,property,1,3100,0.73,1253,4045,1,15700,62,1,1
A_422,operations,1,9200,0.45,3862,2335,1,26800,61,8,0
A_423,property,0,4100,0.68,4580,2429,1,24000,53,1,0
A_424,personal,1,5000,0.51,95,3156,1,38400,42,2,0
A_425,property,1,4200,0.68,1113,2323,1,22100,43,8,1
A_426,emergency,0,7000,0.52,2575,2917,1,58900,33,3,0
A_428,emergency,0,4800,0.73,790,1738,1,27200,49,2,1
A_429,property,1,4100,0.76,1226,5025,1,35400,28,5,0
A_430,personal,1,4500,0.68,2359,5343,1,25000,25,2,0
A_431,emergency,0,2200,0.98,359,3414,1,38700,24,2,1
A_432,others,1,4500,0.9,814,1807,1,24100,51,2,1
A_433,others,0,8100,0.99,3918,3111,1,68600,62,3,0
A_434,property,0,4200,0.61,3952,6285,1,30200,70,3,0
A_435,personal,0,1500,0.4,2712,7297,1,40800,51,1,0
A_436,property,1,2800,0.59,684,3418,0,0,34,3,0
A_437,property,1,5200,0.57,2864,2678,1,36300,40,5,0
